que,20626
de,18214
y,18188
la,10363
a,9823
en,8241
el,8210
no,6335
los,4748
se,4707
con,4202
por,3940
las,3468
lo,3466
le,3401
su,3352
don,2647
del,2491
me,2345
como,2263
quijote,2175
sancho,2148
es,2142
yo,2077
ms,2044
si,1966
un,1938
dijo,1808
al,1749
mi,1705
para,1463
porque,1395
ni,1376
una,1329
ser,1293
l,1283
tan,1243
o,1230
todo,1180
sin,1156
as,1065
respondi,1063
seor,1063
ha,1053
bien,1050
sus,1049
haba,1034
pero,1014
merced,900
esto,888
pues,865
vuestra,852
qu,849
todos,817
ya,785
cuando,757
era,754
s,734
te,726
cual,704
sino,694
dos,684
donde,674
caballero,661
fue,651
este,642
esta,624
quien,618
ella,604
decir,578
seora,544
he,537
muy,535
hacer,535
dios,531
aunque,531
otra,517
aqu,516
otro,511
m,502
all,499
est,490
son,487
aquel,487
estaba,478
hay,471
os,471
mal,459
ver,454
sobre,454
nos,450
cosa,447
dar,444
buen,442
verdad,432
tal,428
tanto,420
tengo,402
mundo,394
luego,390
tiene,389
mis,388
hasta,386
alguna,385
da,382
poco,380
todas,374
entre,374
dicho,373
ahora,366
parte,363
buena,363
vida,356
tena,350
uno,350
han,349
cosas,347
les,347
menos,347
lugar,345
gran,340
soy,336
eso,335
casa,334
tu,334
aquella,333
panza,329
manera,328
tiempo,327
digo,323
toda,320
cura,313
puesto,307
mano,304
amo,297
ellos,295
mucho,294
dio,294
caballeros,293
mejor,293
antes,291
fuera,288
puede,285
sea,285
ojos,285
visto,285
algn,283
dulcinea,282
mas,281
cmo,275
tierra,274
otras,273
hecho,272
quin,270
otros,265
t,265
quiero,260
padre,259
aun,259
hombre,259
haber,254
cielo,252
haban,251
das,251
historia,249
amigo,249
vio,248
saber,247
cada,246
camino,245
parece,245
estas,244
hizo,243
escudero,242
muchas,242
tener,242
manos,239
cuanto,238
tambin,234
fin,234
desta,234
tres,234
mujer,226
dice,225
mesmo,219
cabeza,215
cuenta,214
nuestro,213
vos,212
punto,211
noche,211
replic,208
veces,207
fuese,207
rocinante,206
parecer,204
vuesa,203
estos,201
duque,200
razones,200
muchos,200
diciendo,198
slo,198
andante,197
caballo,197
debe,196
despus,196
grande,196
poda,193
pie,193
gusto,193
vez,191
eran,191
mil,191
primero,190
mo,190
deca,190
duquesa,189
oh,188
lleg,187
estar,182
mucha,180
nombre,180
voz,179
mismo,178
duda,177
adelante,176
mancha,175
estaban,175
gobernador,174
desde,170
modo,170
barbero,167
va,167
nada,166
segn,164
toboso,163
dado,162
andantes,162
vuestro,162
ir,162
hija,162
sido,162
iba,161
cuatro,160
voluntad,160
deseo,159
aquellos,158
quiso,158
gente,157
has,156
armas,156
hace,156
ventura,155
nunca,154
tales,154
alma,153
captulo,153
rostro,153
razn,152
entender,152
seores,151
viendo,151
vena,151
tanta,150
muerte,150
siempre,150
agora,149
fueron,149
ma,149
deste,148
menester,148
pregunt,148
cuerpo,148
camila,148
tienen,147
doncella,147
palabra,147
libros,147
qued,146
nuestra,145
caballera,144
entonces,144
quiere,144
cuales,143
alguno,143
puso,143
dejar,143
nadie,142
lotario,142
suelo,141
ninguna,141
suerte,141
hermosa,141
corazn,140
dicen,140
jams,140
castillo,140
venta,140
anselmo,138
pies,137
rey,137
aos,137
vino,137
persona,136
fernando,135
unos,133
tus,133
finalmente,133
voces,132
comenz,132
dl,132
mala,132
mayor,132
poner,131
caso,130
ste,130
fuerza,129
salir,128
aventura,128
volver,127
algo,127
contra,127
ellas,127
memoria,127
odo,127
grandes,126
amor,125
palabras,125
mitad,125
causa,124
delante,124
fama,124
posible,123
hermosura,123
tuvo,123
estn,123
orden,123
cierto,122
libro,122
algunos,121
